State,Year,Month,Total.Deaths
Utah,2015,April,2
Utah,2015,August,1
Utah,2015,December,2
Utah,2015,February,3
Utah,2015,January,1
Utah,2015,July,1
Utah,2015,June,1
Utah,2015,March,0
Utah,2015,May,1
Utah,2015,November,2
Utah,2015,October,1
Utah,2015,September,1
Utah,2016,April,1
Utah,2016,August,3
Utah,2016,December,1
Utah,2016,February,1
Utah,2016,January,0
Utah,2016,July,1
Utah,2016,June,4
Utah,2016,March,1
Utah,2016,May,5
Utah,2016,November,3
Utah,2016,October,0
Utah,2016,September,1
Utah,2017,April,2
Utah,2017,August,0
Utah,2017,December,3
Utah,2017,February,2
Utah,2017,January,2
Utah,2017,July,1
Utah,2017,June,3
Utah,2017,March,1
Utah,2017,May,3
Utah,2017,November,2
Utah,2017,October,1
Utah,2017,September,0
Utah,2018,April,2
Utah,2018,August,3
Utah,2018,December,2
Utah,2018,February,2
Utah,2018,January,0
Utah,2018,July,3
Utah,2018,June,2
Utah,2018,March,1
Utah,2018,May,1
Utah,2018,November,1
Utah,2018,October,0
Utah,2018,September,0
Utah,2019,April,1
Utah,2019,August,3
Utah,2019,December,2
Utah,2019,February,1
Utah,2019,January,3
Utah,2019,July,0
Utah,2019,June,2
Utah,2019,March,1
Utah,2019,May,3
Utah,2019,November,2
Utah,2019,October,1
Utah,2019,September,2
Utah,2020,April,2
Utah,2020,August,0
Utah,2020,December,9
Utah,2020,February,1
Utah,2020,January,1
Utah,2020,July,0
Utah,2020,June,0
Utah,2020,March,2
Utah,2020,May,8
Utah,2020,November,9
Utah,2020,October,2
Utah,2020,September,2
Utah,2021,January,5
Utah,2021,February,1
Utah,2021,March,2
Utah,2021,April,1
Utah,2021,May,2
Utah,2021,June,4
Utah,2021,July,4
Utah,2021,August,2
Utah,2021,September,2
Utah,2021,October,1
Utah,2021,November,1
Utah,2021,December,2
